Word, Consonants
cramp,RUN
cramped,RUN GET
cramping,RUN TALKING
cramps,RUN
crap,RUN
craquelure,NOT_IN_CMU_DICT
crash,RUN
crashes,RUN
crass,RUN
crathorn,NOT_IN_CMU_DICT
crawfish,RUN
crawford,RUN
crawl,RUN RAIL
crawled,RUN RAIL
crawling,RUN LOOK TALKING
crawls,RUN RAIL
crayfish,RUN
crayford,NOT_IN_CMU_DICT
craze,RUN
crazy,RUN
creak,RUN
cream,RUN
create,RUN GET
creation,RUN
creative,RUN WATER
creativity,RUN WATER
creator,RUN WATER
creature,RUN
credibility,RUN LOOK WATER
credible,RUN RAIL
credit,RUN GET
creed,RUN
creek,RUN
creep,RUN
crematorium,RUN WATER
creolization,NOT_IN_CMU_DICT
crepe-paper,NOT_IN_CMU_DICT
cressida,NOT_IN_CMU_DICT
crest,RUN GET
creutzfeldt-jakob,NOT_IN_CMU_DICT
crew,RUN
crewcut,NOT_IN_CMU_DICT
crib,RUN
cricket,RUN GET
cried,RUN
cries,RUN
crime,RUN
criminal,RUN RAIL
crisis,RUN
crisp,RUN
crisps,RUN
criteria,RUN WATER
criterion,RUN WATER
critic,RUN WATER
critical,RUN WATER RAIL
criticism,RUN WATER
criticize,RUN WATER
criticized,RUN WATER
criticizes,RUN WATER
criticizing,RUN WATER TALKING
critics,RUN WATER
critique,RUN WATER
crm,
croatia,RUN
crochet,RUN
crocodile,RUN RAIL
croft,RUN GET
crook,RUN
crop,RUN
cross,RUN
cross-check,NOT_IN_CMU_DICT
crossbeam,NOT_IN_CMU_DICT
crosses,RUN
crossroad,RUN
crossroads,RUN
crosstalk,RUN
crossword,RUN
crouch,RUN
crow,RUN
crowd,RUN
crowed,RUN
crowfoot,NOT_IN_CMU_DICT
crown,RUN
crowther,RUN THIS
croydon,NOT_IN_CMU_DICT
crucial,RUN RAIL
cruciferous,NOT_IN_CMU_DICT
crude,RUN
cruel,RUN RAIL
cruelty,RUN RAIL
cruelty,RUN RAIL
cruise,RUN
cruised,RUN
crunch,RUN
crunched,RUN GET
crunches,RUN
crunchie,NOT_IN_CMU_DICT
crunching,RUN TALKING
crusader,RUN
crush,RUN
crushes,RUN
crustacean,RUN
crutches,RUN
cruz,RUN
cry,RUN
crybaby,RUN
cryptic,RUN
cryptocurrency,NOT_IN_CMU_DICT
crystal,RUN RAIL
cs,NOT_IN_CMU_DICT
cst,NOT_IN_CMU_DICT
ctrl,NOT_IN_CMU_DICT
cuba,
cube,
cubeb,NOT_IN_CMU_DICT
cubic,
cubicle,RAIL
cubisitic,NOT_IN_CMU_DICT
cuckoo,
cuckoos,
cucumber,
cudbear,NOT_IN_CMU_DICT
cuddle,RAIL
cuddly,LOOK
cudgel,RAIL
cue,
cuff,
cuff-links,NOT_IN_CMU_DICT
cufic,NOT_IN_CMU_DICT
cuisine,
cul-de-sac,RAIL
culprit,RAIL RUN GET
cult,RAIL GET
cultural,RAIL
culture,RAIL
cum,
cumberbatch,
cumbernauld,NOT_IN_CMU_DICT
cumbersome,
cumbria,NOT_IN_CMU_DICT
cumming,TALKING
cums,NOT_IN_CMU_DICT
cumshot,NOT_IN_CMU_DICT
cumulative,LOOK WATER
cunning,TALKING
cunt,GET
cup,
cupboard,
cupid,
cupidity,WATER
cupola,LOOK
cuppa,NOT_IN_CMU_DICT
cupric,NOT_IN_CMU_DICT
curate,GET
curated,WATER
curatorial,WATER RAIL
curb,
cure,
cured,
curfew,
curiosity,WATER
curious,
curiously,LOOK
curly,LOOK
curmudgeon,
currency,
current,GET
currently,LOOK
curriculum,LOOK
curry,
curry-powder,NOT_IN_CMU_DICT
curse,
cursor,
curtain,WATER
curtains,WATER
curtis,WATER
curve,
curwen,NOT_IN_CMU_DICT
curzon,NOT_IN_CMU_DICT
cushing,TALKING
cushion,
custard,
custodial,RAIL
custodian,
custody,
custom,
customary,
customer,
customise,NOT_IN_CMU_DICT
customization,NOT_IN_CMU_DICT
customize,
customized,
customs,
cut,GET
cut-and-cover,NOT_IN_CMU_DICT
cut-out,NOT_IN_CMU_DICT
cute,GET
cuthbert,THINK GET
cutie,WATER
cutlery,LOOK
cutting,WATER TALKING
cwm,NOT_IN_CMU_DICT
cyber,
cyborg,
cycle,RAIL
cycled,RAIL
cycling,LOOK TALKING
cyclist,LOOK GET
cyclists,LOOK
cyclorama,NOT_IN_CMU_DICT
cylinder,LOOK
cynic,
cynical,RAIL
cynosure,
cyprus,RUN
cyrus,
czarina,NOT_IN_CMU_DICT
czech,
dacha,
dachau,
dachshund,HOUSE
dad,
dada,
daddy,
daesh,NOT_IN_CMU_DICT
daft,GET
dahrendorf,NOT_IN_CMU_DICT
daily,LOOK
daimler,LOOK
dairy,
dairy-farm,NOT_IN_CMU_DICT
daisy,
daith,NOT_IN_CMU_DICT
dakota,WATER
dal,RAIL
dale,RAIL
dali,LOOK
dallas,LOOK
dalmatian,RAIL
daly,LOOK
dam,
damage,
damaged,
dame,
damian,
damn,
damnation,
damon,
damp,
dan,
dana,
dance,
danced,GET
dancer,
dandelion,LOOK
dandruff,RUN
danger,
dangerous,
dangerously,LOOK
daniel,RAIL
danish,
danny,
darcy,
dare,
dared,
daredevil,RAIL
daresay,
darfield,NOT_IN_CMU_DICT
daring,TALKING
darjeeling,LOOK TALKING
dark,
darling,LOOK TALKING
dartmoor,NOT_IN_CMU_DICT
darts,
darwen,NOT_IN_CMU_DICT
darwin,
darwinian,
darwinism,
dash,
dashboard,
dashes,
dasyure,NOT_IN_CMU_DICT
dat,GET
data,WATER
database,WATER
date,GET
datum,WATER
daub,
daughter,WATER
daunting,TALKING
dauphin,
dauphine,NOT_IN_CMU_DICT
dave,
davey,
david,
davidson,
davie,
davies,
davis,
dawn,
dawson,
day-care,NOT_IN_CMU_DICT
day-return,NOT_IN_CMU_DICT
daybed,NOT_IN_CMU_DICT
daybreak,RUN
daycare,
daydream,RUN
daylight,LOOK GET
dayroom,NOT_IN_CMU_DICT
days,
daytime,WATER
dayton,WATER
daytona,WATER
dazzle,RAIL
de-stalinization,NOT_IN_CMU_DICT
dead,
deadline,LOOK
deadly,LOOK
deaf,
deal,RAIL
dealership,LOOK
dealt,RAIL GET
dealtime,NOT_IN_CMU_DICT
dean,
deanna,
dear,
dearer,
dearie,NOT_IN_CMU_DICT
dearly,LOOK
dearness,NOT_IN_CMU_DICT
dearth,THINK
deary,
death,THINK
deathwatch,THINK
debatable,WATER RAIL
debate,GET
debated,WATER
debauch,NOT_IN_CMU_DICT
debauchee,NOT_IN_CMU_DICT
debbie,
debian,
debit,GET
deborah,RUN
debt,GET
debued,NOT_IN_CMU_DICT
debug,
debugger,NOT_IN_CMU_DICT
debut,
debutante,WATER GET
debutz,NOT_IN_CMU_DICT
decade,
decaf,
decay,
december,
decent,GET
decide,
decided,
decimal,RAIL
decision,
deck,
declaration,LOOK
declare,LOOK
declared,LOOK
declares,LOOK
decline,LOOK
declined,LOOK
decode,
decoded,
decodes,
decoding,TALKING
decor,
decorating,WATER TALKING
decorative,RUN WATER
decors,NOT_IN_CMU_DICT
decoys,
decrease,RUN
decreased,RUN GET
decreolize,NOT_IN_CMU_DICT
dedicate,GET
dedicated,WATER
dedicates,
dedicating,WATER TALKING
deduce,
deduced,GET
deduces,NOT_IN_CMU_DICT
deducing,NOT_IN_CMU_DICT
deduction,
deductions,
dee,
deed,
deeds,
deem,
deemed,
deeming,NOT_IN_CMU_DICT
deems,
deep,
deeply,LOOK
deer,
deerskin,
deerstalker,NOT_IN_CMU_DICT
def,NOT_IN_CMU_DICT
default,RAIL GET
defeat,GET
defect,GET
defective,
defects,
defence,
defend,
defendant,GET
defense,
defensive,
deferred,
deficiencies,
deficiency,
deficit,GET
define,
defined,
definite,GET
definitely,LOOK
definition,
definitive,WATER
defloration,NOT_IN_CMU_DICT
defraudation,NOT_IN_CMU_DICT
defy,
degenerate,GET
degenerate,GET
degradation,RUN
degrade,RUN
degraded,RUN
degree,RUN
deimos,NOT_IN_CMU_DICT
deity,WATER
del,RAIL
delaware,LOOK
delay,LOOK
delayed,LOOK
delays,LOOK
delegation,LOOK
delete,LOOK GET
deleted,LOOK WATER
deletion,LOOK
delhi,LOOK
deli,LOOK
deliberate,LOOK GET RUN
deliberately,LOOK RUN
deliberately,LOOK RUN
delicate,LOOK GET
delicious,LOOK
delight,LOOK GET
delighted,LOOK WATER
delightful,LOOK RAIL
delimiters,NOT_IN_CMU_DICT
deliver,LOOK
delivery,LOOK
dell,RAIL
deloitte,LOOK GET
delta,RAIL
deluge,RAIL
delusion,LOOK
deluxe,LOOK
dem,NOT_IN_CMU_DICT
demand,
dematerialization,NOT_IN_CMU_DICT
demented,
dementia,
demigod,NOT_IN_CMU_DICT
demimondaine,NOT_IN_CMU_DICT
demise,
demo,
democracy,RUN
democrat,RUN GET
democratic,RUN WATER
democratically,RUN WATER LOOK
demodulation,LOOK
demographic,RUN
demolish,LOOK
demolished,LOOK GET
demolishes,LOOK
demolishing,LOOK TALKING
demonstrate,RUN GET
demonstrated,RUN WATER
demonstration,RUN
demure,
den,
denaturize,NOT_IN_CMU_DICT
deneb,NOT_IN_CMU_DICT
denial,RAIL
denied,
denies,
denmark,
dennis,
denominator,WATER
denote,GET
denotes,
dense,
density,WATER
dental,RAIL
dentist,GET
dentists,
denver,
deny,
deoribonucleic,NOT_IN_CMU_DICT
department,GET
departmental,RAIL
departure,
depend,
dependence,
dependent,GET
depict,GET
deploy,LOOK
deployed,LOOK
deployment,LOOK GET
deport,GET
deposit,GET
depositing,WATER TALKING
depot,
depress,RUN
depressed,RUN GET
depresses,RUN
depressing,RUN TALKING
depression,RUN
depressurization,NOT_IN_CMU_DICT
deprive,RUN
deprived,RUN
deprives,RUN
depriving,RUN TALKING
dept,NOT_IN_CMU_DICT
depth,THINK
depth-charge,NOT_IN_CMU_DICT
deputy,WATER
der,
derailed,RAIL
derange,
deranged,
deranges,NOT_IN_CMU_DICT
deranging,NOT_IN_CMU_DICT
derby,
derek,
derision,
derivative,WATER
derive,
derived,
dermabrasion,NOT_IN_CMU_DICT
derogatory,WATER
derriere,NOT_IN_CMU_DICT
derwent,NOT_IN_CMU_DICT
descend,
descended,
descending,TALKING
descends,
describe,RUN
described,RUN
descriptive,RUN
desert,GET
deserted,WATER
deserting,WATER TALKING
deserve,
design,
designate,GET
designated,WATER
designates,
designating,WATER TALKING
designation,
designer,
desirable,RAIL
desire,
desired,
desk,
desktop,
desktops,
desktops,
desmond,
despair,
desperate,RUN GET
desperately,LOOK RUN
desperately,LOOK RUN
despise,
despite,GET
destabilization,LOOK
destination,
destine,NOT_IN_CMU_DICT
destined,
destines,NOT_IN_CMU_DICT
destining,NOT_IN_CMU_DICT
destiny,
destroy,RUN
destroyed,RUN
destroyer,RUN
destroys,RUN
destruction,RUN
destructive,RUN
detach,WATER
detach,WATER
detached,WATER GET
detached,WATER GET
detaches,WATER
detaches,WATER
detaching,NOT_IN_CMU_DICT
detail,WATER RAIL
detect,WATER GET
detection,WATER
detective,WATER
detector,WATER
deter,WATER
determination,WATER
determine,WATER
determined,WATER
deterrent,WATER GET
detour,WATER
detoured,WATER
detouring,NOT_IN_CMU_DICT
detours,WATER
detract,RUN GET
detroit,RUN GET
deutsch,
deutsche,
deutschland,LOOK
deutschmark,NOT_IN_CMU_DICT
dev,
devastate,GET
devastated,WATER
devastates,NOT_IN_CMU_DICT
devastating,WATER TALKING
devel,NOT_IN_CMU_DICT
develop,LOOK
developer,LOOK
development,LOOK GET
developmental,LOOK RAIL
deviant,GET
deviation,
device,
devil,RAIL
devious,
devise,
devised,
devises,
devising,TALKING
devoid,
devon,
devote,GET
devoted,WATER
devotes,
devoting,WATER TALKING
devotion,
devourer,NOT_IN_CMU_DICT
dew-worm,NOT_IN_CMU_DICT
dhal,NOT_IN_CMU_DICT
di,
diabetes,WATER
diablo,LOOK
diadem,
diaghilev,NOT_IN_CMU_DICT
diagnosis,
diagnostic,
diagonal,RAIL
diagram,RUN
dial,RAIL
dialect,LOOK GET
dialects,LOOK
dialog,LOOK
dialogue,LOOK
diamante,
diameter,WATER
diamond,
diana,
diane,
diarist,NOT_IN_CMU_DICT
diary,
diatribe,RUN
diaz,
dicast,NOT_IN_CMU_DICT
dice,
dick,
dicke,
dictate,GET
dictate,GET
dictator,WATER
dictator,WATER
dictatorship,WATER
dictionary,
did,
didn't,GET
didn't,GET
die,
diecast,NOT_IN_CMU_DICT
died,
diego,
dies,
diesel,RAIL
diet,GET
dietary,WATER
diff,
differ,
difference,RUN
different,GET RUN
differential,RAIL
differentiate,GET
differently,RUN LOOK
difficult,RAIL GET
difficulty,RAIL
diffusion,
diffusivity,NOT_IN_CMU_DICT
dig,
digbeth,NOT_IN_CMU_DICT
digest,GET
digested,
digestion,
digestive,
digit,GET
digital,WATER RAIL
diglossia,NOT_IN_CMU_DICT
dignity,WATER
digressed,RUN GET
digression,RUN
dildo,RAIL
dilemma,LOOK
dilithium,LOOK THINK
dim,
dimension,
dimensional,RAIL
diminution,
dimitri,RUN
dina,
dine,
dined,
diner,
dines,
dingaan,NOT_IN_CMU_DICT
dining,TALKING
dining-room,NOT_IN_CMU_DICT
dinner,
dinosaur,
dinothere,NOT_IN_CMU_DICT
dip,
diploma,LOOK
diplomatic,LOOK WATER
dir,NOT_IN_CMU_DICT
dire,
dire,
direction,
directive,
directly,LOOK
director,
directorial,RAIL
direst,GET
dirt,GET
dirty,WATER
disability,LOOK WATER
disable,RAIL
disabled,RAIL
disagree,RUN
disagreed,RUN
disagreement,RUN GET
disallow,LOOK
disappear,
disappeared,
disappoint,GET
disappointed,
disappointing,TALKING
disappointment,GET
disappoints,
disaster,
disastrous,RUN
disc,
discard,
discarded,
discarding,TALKING
discards,
discharge,
disciplinary,LOOK
discipline,LOOK
disclaimer,LOOK
disclose,LOOK
disclosure,LOOK
disco,
disconnect,GET
disconnected,
disconnecting,TALKING
disconnects,
discontinue,
discontinued,
discontinues,NOT_IN_CMU_DICT
discontinuing,TALKING
discount,GET
discount,GET
discount,GET
discounted,
discounted,
discounted,
discounts,
discounts,
discounts,
discourage,
discouraged,
discourages,
discouraging,TALKING
discourse,
discover,
discovery,RUN
discreet,RUN GET
discrepancy,RUN
discrete,RUN GET
discretion,RUN
discriminate,RUN GET
discriminated,RUN WATER
discriminates,RUN
discriminating,RUN WATER TALKING
discrimination,RUN
discuss,
discusses,
discussion,
disease,
disgorge,
disguise,
disguised,
disgust,GET
disgusted,
disgusting,TALKING
disgusts,
dish,
dishes,
dishforth,NOT_IN_CMU_DICT
dishonest,GET
dishtowel,NOT_IN_CMU_DICT
disk,
disk-drive,NOT_IN_CMU_DICT
dislike,LOOK
disliked,LOOK GET
dislikes,LOOK
disliking,LOOK TALKING
dismal,RAIL
dismiss,
dismissed,GET
dismisses,
dismissing,TALKING
disney,
disobliges,NOT_IN_CMU_DICT
disobligingly,NOT_IN_CMU_DICT
disorder,
dispatch,
displays,LOOK
displeasure,LOOK
disposable,RAIL
disposal,RAIL
dispose,
disposed,
disposes,
disposing,TALKING
disposition,
dispute,GET
disregard,RUN
disrupt,RUN GET
disruption,RUN
dissertation,WATER
dissimilar,LOOK
dissuasion,NOT_IN_CMU_DICT
distance,
distant,GET
distasteful,RAIL
distinct,GET
distinction,
distinctive,
distinctly,LOOK
distinguish,TALKING
distinguished,TALKING GET
distinguishes,TALKING
distinguishing,TALKING
distort,GET
distortion,
distract,RUN GET
distracted,RUN
distracting,RUN TALKING
distracts,RUN
distress,RUN
distressed,RUN GET
distresses,RUN
distressing,RUN TALKING
distribute,RUN GET
distributed,RUN WATER
distribution,RUN
distributor,RUN WATER
disturb,
disturbance,
disturbed,
disturbing,TALKING
disturbs,
ditch,
dithering,THIS TALKING
ditto,WATER
diva,
dive,
dived,
diverse,
diversion,
diversity,WATER
divide,
divided,
dividend,
divine,
diving,TALKING
division,
divorce,
diy,NOT_IN_CMU_DICT
djs,NOT_IN_CMU_DICT
dna,
dns,
do,
do-or-die,NOT_IN_CMU_DICT
do-si-do,NOT_IN_CMU_DICT
doc,
dock,
doctor,
doctrine,RUN
document,GET
documentary,
documentation,
documents,
docuseries,NOT_IN_CMU_DICT
dod,NOT_IN_CMU_DICT
dodge,
doe,
does,
dog,
dog-eared,NOT_IN_CMU_DICT
dog-end,NOT_IN_CMU_DICT
doge,
dogfood,NOT_IN_CMU_DICT
doggie,
dogleg,NOT_IN_CMU_DICT
dogma,
dogwatch,NOT_IN_CMU_DICT
doha,HOUSE
doig,
doing,TALKING
doit,NOT_IN_CMU_DICT
dolby,RAIL
dole,RAIL
doll,RAIL
dollar,LOOK
dom,
domain,
dombey,NOT_IN_CMU_DICT
dome,
domestic,
dominant,GET
dominate,GET
dominated,WATER
dominates,
dominating,WATER TALKING
dominica,
dominican,
don,
don't,GET
donald,RAIL
donate,GET
donated,WATER
donation,
doncaster,NOT_IN_CMU_DICT
done,
donegal,NOT_IN_CMU_DICT
donna,
donor,
dont,NOT_IN_CMU_DICT
donut,GET
doo-wop,NOT_IN_CMU_DICT
doodlebug,NOT_IN_CMU_DICT
doom,
door,
doorhandle,NOT_IN_CMU_DICT
doorjamp,NOT_IN_CMU_DICT
doorknob,
doorplate,NOT_IN_CMU_DICT
doorway,
dopey,
dora,
dordogne,NOT_IN_CMU_DICT
dorothy,THINK
dorset,GET
dosage,
dose,
dosh,
doss,
dot,GET
doth,THINK
doting,WATER TALKING
double,RAIL
double-clutch,NOT_IN_CMU_DICT
double-time,NOT_IN_CMU_DICT
doubled,RAIL
doubt,GET
doubtful,RAIL
doubtless,LOOK
douchebag,NOT_IN_CMU_DICT
doug,
dough,
doughnut,GET
douglas,LOOK
dourine,NOT_IN_CMU_DICT
douro,NOT_IN_CMU_DICT
dover,
dovercourt,NOT_IN_CMU_DICT
dow,
dow-jones,NOT_IN_CMU_DICT
dowdy,
dowel,RAIL
down,
downbeat,GET
downdraft,RUN GET
downhill,HOUSE RAIL
download,LOOK
downpour,
downright,RUN GET
downstairs,
downtown,
downwards,
doyle,RAIL
dozen,
dracula,RUN LOOK
draft,RUN GET
drag,RUN
dragon,RUN
drain,RUN
drainage,RUN
drama,RUN
dramatic,RUN WATER
dramatically,RUN WATER LOOK
drank,RUN
drapes,RUN
drastic,RUN
drastically,RUN LOOK
draw,RUN
drawback,RUN
drawling,NOT_IN_CMU_DICT
drawn,RUN
draws,RUN
drawstring,NOT_IN_CMU_DICT
drayton,RUN WATER
dread,RUN
dreaded,RUN
dreadful,RUN RAIL
dreading,RUN TALKING
dreadlocks,NOT_IN_CMU_DICT
dreads,RUN
dream,RUN
dreariest,NOT_IN_CMU_DICT
dreary,RUN
dress,RUN
dresses,RUN
dressing-gown,NOT_IN_CMU_DICT
DRESSintranet,NOT_IN_CMU_DICT
drew,RUN
dreyfus,RUN
dried,RUN
dries,RUN
drift,RUN GET
drill,RUN RAIL
drink,RUN
drip,RUN
dripped,RUN GET
dripping,RUN TALKING
drips,RUN
drive,RUN
drive-in,NOT_IN_CMU_DICT
drivel,RUN RAIL
driven,RUN
driver,RUN
droitwich,NOT_IN_CMU_DICT
drop,RUN
dropped,RUN GET
drove,RUN
drown,RUN
drowned,RUN
drowning,RUN TALKING
drowns,RUN
drudgery,RUN
drug,RUN
drum,RUN
drum-major,NOT_IN_CMU_DICT
drunk,RUN
drunken,RUN
dry,RUN
dry-clean,NOT_IN_CMU_DICT
dry-walling,NOT_IN_CMU_DICT
dsl,NOT_IN_CMU_DICT
dual,RAIL
dubai,
dubbed,
dubious,
dublin,LOOK
dubois,
dubonnet,NOT_IN_CMU_DICT
duce,
duchesne,NOT_IN_CMU_DICT
duchess,
duck,
duck-egg,NOT_IN_CMU_DICT
duckworth,THINK
dude,
dudgeon,
dudley,LOOK
due,
duff,
duffey,
duffy,
dug,
dukakis,
duke,
dull,RAIL
duluth,LOOK THINK
duly,LOOK
dumaine,
dumb,
dumfries,NOT_IN_CMU_DICT
dummy,
dump,
dumpster,
duncan,
dundee,
dune,
dunlop,LOOK
duo,
duolingo,NOT_IN_CMU_DICT
duos,NOT_IN_CMU_DICT
duplex,LOOK
duplicate,LOOK GET
duplicated,LOOK WATER
duplication,LOOK
duplicitous,LOOK WATER
durable,RAIL
duration,
durham,HOUSE
during,TALKING
dusk,
dusseldorf,RAIL
dust,GET
dust-wrapper,NOT_IN_CMU_DICT
dustbin,
dusty,
dutch,
duterte,NOT_IN_CMU_DICT
duthie,THINK
duthy,NOT_IN_CMU_DICT
duty,WATER
duvalier,RAIL
duvets,NOT_IN_CMU_DICT
dwarf,
dwarfism,
dwarves,
dye,
dye-works,NOT_IN_CMU_DICT
dyestuffs,
dying,TALKING
dylan,LOOK
dynamic,
dynamically,LOOK
e-cigarette,NOT_IN_CMU_DICT
e-mail,RAIL
each,
eager,
eagerly,LOOK
eagle,RAIL
eaglet,NOT_IN_CMU_DICT
eames,
eamon,
ear,
earflap,NOT_IN_CMU_DICT
earful,RAIL
earl,RAIL
earlier,LOOK
earliest,LOOK GET
earlobe,NOT_IN_CMU_DICT
early,LOOK
earmuff,
earn,
earphones,
earplug,LOOK
earring,TALKING
earrings,TALKING
ears,
earshot,GET
earth,THINK
eartha,THINK
earthenware,THINK
earthly,THINK LOOK
earthquake,THINK
earthworm,THINK
earwax,
earwig,NOT_IN_CMU_DICT
earworm,NOT_IN_CMU_DICT
ease,
easier,
easiest,GET
easily,LOOK
east-southeast,NOT_IN_CMU_DICT
eastbourne,NOT_IN_CMU_DICT
eastcheap,NOT_IN_CMU_DICT
eastern,
eastwood,
easy,
eat,GET
eaten,WATER
eating-place,NOT_IN_CMU_DICT
ebay,
ebbtide,NOT_IN_CMU_DICT
ebony,
ebook,NOT_IN_CMU_DICT
ebooks,NOT_IN_CMU_DICT
eccentric,RUN
eccentric,RUN
echo,
echoes,
eclipse,LOOK
eco,
eco-friendly,NOT_IN_CMU_DICT
ecological,LOOK RAIL
ecology,LOOK
ecommerce,NOT_IN_CMU_DICT
economic,
economical,RAIL
economical,RAIL
economically,LOOK
economically,LOOK
economics,
economist,GET
economy,
ecorche,NOT_IN_CMU_DICT
ecorse,NOT_IN_CMU_DICT
ectoplasm,NOT_IN_CMU_DICT
ecuador,
ed,
eddie,
eden,
edgar,
edge,
edging-shears,NOT_IN_CMU_DICT
edgware,NOT_IN_CMU_DICT
edgy,
edible,RAIL
edinburgh,
edit,GET
edition,
editor,WATER
editorial,WATER RAIL
editorialization,NOT_IN_CMU_DICT
editors,WATER
edmonton,
educate,GET
educated,WATER
educates,
educating,WATER TALKING
education,
educational,RAIL
educator,WATER
educators,WATER
edward,
eerie,
eeyore,NOT_IN_CMU_DICT
effect,GET
effective,
effectively,LOOK
effendi,NOT_IN_CMU_DICT
efficiency,
efficient,GET
efficiently,LOOK
effie,
effort,GET
effusions,NOT_IN_CMU_DICT
egerton,WATER
egg,
ego,
egocentric,RUN
egoism,
egos,
egress,RUN
egypt,GET
egyptian,
eh,
eid,
eight,GET
eighteen,WATER
eighth,THINK
eileen,LOOK
eirsat-1,NOT_IN_CMU_DICT
eisenhower,HOUSE
either,THIS
ejaculation,LOOK
elaborate,LOOK RUN GET
elaborate,LOOK RUN GET
elastic,LOOK
elba,NOT_IN_CMU_DICT
elbowroom,RAIL
elder,RAIL
elderflower,NOT_IN_CMU_DICT
elderly,RAIL LOOK
elect,LOOK GET
election,LOOK
electoral,LOOK RAIL
electorate,LOOK GET RUN
electorate,LOOK GET RUN
electric,LOOK RUN
electrical,LOOK RUN RAIL
electricity,LOOK RUN WATER
electro,LOOK RUN
electrocardiogram,LOOK RUN
electrocution,LOOK RUN
electrolier,NOT_IN_CMU_DICT
electrolux,LOOK RUN
electrolytic,LOOK RUN WATER
electron,LOOK RUN
electronic,LOOK RUN
electronically,LOOK RUN
electronically,LOOK RUN
electronics,LOOK RUN
electroshock,LOOK RUN
eleemosynary,LOOK
elegant,LOOK GET
element,LOOK GET
elementary,LOOK RUN
elena,LOOK
elephant,LOOK GET
elevation,LOOK
elevator,LOOK WATER
elevators,LOOK WATER
eleven,LOOK
eligibility,LOOK WATER
eligible,LOOK RAIL
elijah,LOOK
elim,NOT_IN_CMU_DICT
eliminate,LOOK GET
eliminated,LOOK WATER
elimination,LOOK
elision,NOT_IN_CMU_DICT
elite,LOOK GET
elitist,LOOK WATER GET
elitist,LOOK WATER GET
eliza,LOOK
elizabeth,LOOK THINK
ellen,LOOK
ellesmere,RAIL
elliott,LOOK GET
ellis,LOOK
elocution,LOOK
elope,LOOK
elsa,RAIL
elsewhere,RAIL
elvis,RAIL
em,
emacs,
email,RAIL
emails,RAIL
emails,RAIL
embarcadero,
embarrass,
embarrassed,GET
embarrasses,
embarrassing,TALKING
embarrassment,GET
embassy,
embed,
embedded,
embedding,TALKING
embeds,NOT_IN_CMU_DICT
embodied,
embouchure,NOT_IN_CMU_DICT
embrace,RUN
embrasure,NOT_IN_CMU_DICT
embroidered,RUN
emerald,RUN RAIL
emerge,
emerged,
emerged,
emergency,
emerging,TALKING
emily,LOOK
eminem,
eminent,GET
eminently,LOOK
emirates,
emission,
emit,GET
emma,
emmanuel,RAIL
emmentaler,NOT_IN_CMU_DICT
emoji,NOT_IN_CMU_DICT
emotion,
emotional,RAIL
emotionally,LOOK
emotionally,LOOK
emotions,
empanada,NOT_IN_CMU_DICT
empathy,THINK
emperor,
emphasis,
emphasize,
emphasized,
emphasizes,
emphasizing,TALKING
empire,
empirical,RAIL
employ,LOOK
employee,LOOK
employer,LOOK
employment,LOOK GET
emporium,
emptied,
empty,
emulate,LOOK GET
emulation,LOOK
emulator,LOOK WATER
emulators,NOT_IN_CMU_DICT
enable,RAIL
enabled,RAIL
enarthrosis,NOT_IN_CMU_DICT
encephalitis,LOOK WATER
encephalomyelitis,NOT_IN_CMU_DICT
enchilada,LOOK
enchiladas,NOT_IN_CMU_DICT
enclave,LOOK
enclose,LOOK
enclosed,LOOK
encloses,NOT_IN_CMU_DICT
enclosing,LOOK TALKING
enclosure,LOOK
encode,
encoded,
encodes,NOT_IN_CMU_DICT
encoding,TALKING
encore,
encounter,
encourage,
encouraged,
encroach,RUN
encryption,RUN
encyclopedia,LOOK
end,
endangered,
endeavor,
endgame,
endless,LOOK
endlessly,LOOK
endometriosis,RUN
endorsed,GET
endorsement,GET
endosmosis,NOT_IN_CMU_DICT
endothermic,THINK
endowment,GET
enduring,TALKING
enemy,
energise,NOT_IN_CMU_DICT
energize,
energy,
enforce,
enforced,GET
enforcement,GET
enforces,
enforcing,TALKING
engage,
engaged,
engagement,GET
engels,TALKING RAIL
engine,
engineer,
engineering,TALKING
engineers,
england,TALKING LOOK
englewood,TALKING RAIL
engorge,NOT_IN_CMU_DICT
enhance,HOUSE
enhanced,HOUSE GET
enjoy,
enjoyable,RAIL
enjoyed,
enjoyment,GET
enlarge,LOOK
enlarged,LOOK
enlarged,LOOK
enlighten,LOOK WATER
enlightened,LOOK WATER
enlightening,LOOK WATER TALKING
enlightening,LOOK WATER TALKING
enlightenment,LOOK WATER GET
enlightens,LOOK WATER
enormous,
enormously,LOOK
enough,
enquiry,
enrolled,RUN RAIL
enrollment,RUN RAIL GET
ensemble,RAIL
ensued,
ensure,
ensured,
ent,GET
entail,RAIL
entails,RAIL
enter,
enterprise,RUN
entertain,WATER
entertained,WATER
entertaining,WATER TALKING
entertainment,WATER GET
entertains,WATER
enthusiasm,THINK
enthusiastic,THINK
entire,
entirely,LOOK
entirety,WATER
entitle,WATER RAIL
entitled,WATER RAIL
entitles,WATER RAIL
entitling,WATER LOOK TALKING
entity,WATER
entourage,
entrance,RUN
entrepreneur,RUN
entrepreneurial,RUN RAIL
entrepreneurs,RUN
entry,RUN
envelope,LOOK
environment,GET
environmental,RAIL
envisage,
envisaged,
envisages,
